Dijkster's vs A-Star Center to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
A-Star    , 32, 1024, 1259073, 1247877, 1235281, 1236680, 1250208, 1253474, 1244144, 10334748, 1229217, 1254874, 2154557
Dijkstra's, 33, 1089, 24424321, 24835770, 24911808, 25043827, 24674363, 24962190, 24688357, 24460708, 25140392, 24745736, 24788747
A-Star    , 33, 1089, 1325315, 1380361, 1361702, 1335578, 1384093, 1387358, 1371032, 1338843, 1389691, 1388291, 1366226
Dijkstra's, 34, 1156, 29062689, 28689025, 28561206, 28579399, 28939534, 28693691, 28495430, 28797252, 28610187, 28537881, 28696629
A-Star    , 34, 1156, 1548766, 1534305, 1510513, 1510979, 1525441, 1541768, 1512846, 1541302, 1524975, 1513312, 1526420
Dijkstra's, 35, 1225, 33205638, 32871627, 32721415, 32496564, 32275445, 32896351, 32665902, 33045629, 32672899, 32428455, 32727992
A-Star    , 35, 1225, 1656526, 1709707, 1690581, 1666789, 1658393, 1682650, 1696179, 1711573, 1658859, 1677519, 1680877
Dijkstra's, 36, 1296, 37990019, 37590698, 37383575, 37182515, 37670936, 37437688, 37102744, 37769832, 37608892, 37788959, 37552585
A-Star    , 36, 1296, 1858519, 1840793, 1806738, 1833795, 1855720, 1825864, 1823998, 1829596, 1796942, 1837527, 1830949
Dijkstra's, 37, 1369, 42805655, 42902219, 42124571, 42738013, 42096581, 43176520, 42445520, 43483007, 42605529, 43018844, 42739645
A-Star    , 37, 1369, 2036721, 2073574, 2019460, 2040919, 2014329, 2040919, 2037654, 2091767, 2037187, 2027391, 2041992
Dijkstra's, 38, 1444, 49120608, 49082356, 48941474, 48878964, 48781466, 49120609, 48865435, 48792196, 49349192, 49102416, 49003471
A-Star    , 38, 1444, 2254574, 2232649, 2234981, 2222852, 2260639, 2241046, 2239646, 2208857, 2224719, 2256440, 2237640
Dijkstra's, 39, 1521, 56252863, 55656215, 55743450, 55358124, 56303245, 55878267, 55638954, 55420635, 55846545, 55489210, 55758750
A-Star    , 39, 1521, 2504616, 2415516, 2453301, 2453768, 2467296, 2480824, 2428111, 2440240, 2462631, 2444905, 2455120
Dijkstra's, 40, 1600, 63776041, 63718195, 63426636, 62792668, 63129478, 62613533, 62902761, 63510605, 62843982, 63064168, 63177806
A-Star    , 40, 1600, 2734132, 2686550, 2740197, 2695413, 2703343, 2689815, 2672554, 2700077, 2694946, 2719670, 2703669
Dijkstra's, 41, 1681, 71175597, 71158804, 70830390, 70574284, 71345402, 88614144, 71258634, 70392817, 70856514, 70612070, 72681865
A-Star    , 41, 1681, 3007032, 2924462, 2936591, 2933792, 2963647, 2928195, 2988372, 2957117, 2955251, 2935658, 2953011
Dijkstra's, 42, 1764, 79721334, 80006363, 79458231, 80253139, 79370995, 79931257, 79175067, 79428842, 79802038, 79329478, 79647674
A-Star    , 42, 1764, 3310254, 3215555, 3223952, 3406353, 3185700, 3202960, 3185233, 3219287, 3206692, 3210424, 3236641
Dijkstra's, 43, 1849, 90064945, 90715241, 89352607, 89196797, 89164609, 89798576, 89240647, 89915667, 89338612, 89056848, 89584454
A-Star    , 43, 1849, 3564960, 3529508, 3533239, 3515512, 3484257, 3551899, 3498252, 3516446, 3517378, 3497319, 3520877
Dijkstra's, 44, 1936, 101445110, 100510719, 99986845, 99098171, 100749099, 100115131, 100607284, 100308727, 100367971, 100524715, 100371377
A-Star    , 44, 1936, 3863985, 3809871, 3846258, 3763221, 3842992, 3817335, 3829464, 3816402, 3820600, 3828065, 3823819
Dijkstra's, 45, 2025, 113776927, 111716882, 111622183, 111391268, 110918241, 111497162, 112105473, 111886220, 110726511, 112600425, 111824129
A-Star    , 45, 2025, 4229251, 4155078, 4166274, 4138285, 4106096, 4137818, 4145748, 4167674, 4138284, 4334213, 4171872
Dijkstra's, 46, 2116, 125509764, 124618756, 124530122, 124424228, 124459214, 123925544, 124284745, 123213671, 123931141, 124213371, 124311055
A-Star    , 46, 2116, 4569326, 4496553, 4520810, 4513813, 4533872, 4514746, 4546001, 4494687, 4491421, 4502151, 4518338
Dijkstra's, 47, 2209, 137380682, 136043238, 136353458, 134365720, 136216309, 134475347, 136164061, 135909354, 135506768, 135535691, 135795062
A-Star    , 47, 2209, 4772719, 4839894, 4861352, 4800708, 4839894, 4779716, 4852955, 4814703, 4867417, 4825899, 4825525
Dijkstra's, 48, 2304, 149083663, 149230608, 150389385, 149926154, 150249435, 149853847, 149870640, 149459191, 149920089, 148958175, 149694118
A-Star    , 48, 2304, 5222421, 5233150, 5232684, 5202828, 5321784, 5245279, 5252743, 5207959, 5232217, 5219155, 5237022
Dijkstra's, 49, 2401, 165926493, 163422811, 163893038, 163597280, 163902369, 163789943, 164196727, 164290492, 162635365, 164296091, 163995060
A-Star    , 49, 2401, 5640401, 5591885, 5597949, 5597950, 5602148, 5630138, 5590952, 5597017, 5568560, 5617542, 5603454
Dijkstra's, 50, 2500, 181510718, 179850926, 179328918, 181039558, 179058817, 180037525, 179832266, 179388163, 179799145, 179367170, 179921320
A-Star    , 50, 2500, 6012198, 6010332, 5977677, 6027593, 5980943, 6000535, 6031791, 5989339, 6026659, 5985142, 6004220

Dijkster's vs A-Star Center to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
Dijkstra's, 4, 16, 57379, 57379
A-Star    , 4, 16, 40586, 40586
Dijkstra's, 5, 25, 73240, 73240
A-Star    , 5, 25, 26124, 26124
Dijkstra's, 6, 36, 157209, 157209
A-Star    , 6, 36, 36853, 36853
Dijkstra's, 7, 49, 67176, 67176
A-Star    , 7, 49, 41985, 41985
Dijkstra's, 8, 64, 59245, 59245
A-Star    , 8, 64, 61578, 61578
Dijkstra's, 9, 81, 73706, 73706
A-Star    , 9, 81, 63910, 63910
Dijkstra's, 10, 100, 101230, 101230
A-Star    , 10, 100, 21459, 21459

Dijkster's vs A-Star Center to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
Dijkstra's, 4, 16, 55979, 55979
A-Star    , 4, 16, 52714, 52714
Dijkstra's, 5, 25, 62511, 62511
A-Star    , 5, 25, 25191, 25191
Dijkstra's, 6, 36, 121288, 121288
A-Star    , 6, 36, 44317, 44317
Dijkstra's, 7, 49, 65776, 65776
A-Star    , 7, 49, 41518, 41518
Dijkstra's, 8, 64, 59712, 59712
A-Star    , 8, 64, 109160, 109160
Dijkstra's, 9, 81, 74173, 74173
A-Star    , 9, 81, 40586, 40586
Dijkstra's, 10, 100, 106361, 106361
A-Star    , 10, 100, 24725, 24725

Dijkster's vs A-Star Center to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
Dijkstra's, 4, 16, 55980, 55980
A-Star    , 4, 16, 46184, 46184
Dijkstra's, 5, 25, 67642, 67642
A-Star    , 5, 25, 25657, 25657
Dijkstra's, 6, 36, 123156, 123156
A-Star    , 6, 36, 40119, 40119
Dijkstra's, 7, 49, 66243, 66243
A-Star    , 7, 49, 55513, 55513
Dijkstra's, 8, 64, 58779, 58779
A-Star    , 8, 64, 62044, 62044
Dijkstra's, 9, 81, 80705, 80705
A-Star    , 9, 81, 76973, 76973
Dijkstra's, 10, 100, 170739, 170739
A-Star    , 10, 100, 40585, 40585

Dijkster's vs A-Star Center to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
Dijkstra's, 4, 16, 55980, 55980
