Sequential Search
2^,N,Microseconds, , , , , , , , , , Sequential Search
12, 4096, 933, 933, 933, 933, 933, 933, 933, 466, 933, 933, 886
13, 8192, 933, 933, 933, 933, 933, 466, 933, 933, 933, 933, 886
14, 16384, 1400, 933, 17726, 933, 1399, 933, 466, 466, 933, 1399, 2658
15, 32768, 933, 933, 933, 933, 2332, 1399, 1400, 1400, 466, 466, 1119
16, 65536, 1399, 467, 467, 466, 933, 1866, 466, 466, 1400, 466, 839
17, 131072, 933, 1399, 933, 933, 1399, 1866, 466, 933, 466, 1866, 1119
18, 262144, 1400, 1866, 1865, 1399, 1866, 1399, 933, 1866, 1400, 1866, 1586
19, 524288, 4199, 3732, 3732, 2799, 4198, 3266, 2799, 2799, 2333, 4198, 3405
20, 1048576, 4665, 5598, 4665, 5131, 6531, 5598, 5131, 5598, 5598, 5132, 5364
21, 2097152, 6064, 5598, 5132, 7464, 5131, 5598, 4665, 5131, 5598, 5132, 5551
22, 4194304, 5131, 6531, 5598, 5131, 5598, 6064, 5598, 6065, 5132, 6064, 5691
23, 8388608, 5598, 5131, 5131, 5598, 5598, 5132, 5597, 5598, 5131, 5131, 5364
24, 16777216, 5598, 4665, 5132, 5598, 4665, 4665, 5598, 5598, 5598, 4198, 5131


Binary Search
2^,N,Microseconds, , , , , , , , , , Binary Search
8, 256, 5597, 933, 466, 466, 933, 466, 466, 467, 466, 466, 1072
9, 512, 933, 467, 933, 933, 933, 467, 466, 933, 467, 466, 699
10, 1024, 932, 466, 466, 466, 466, 466, 933, 466, 466, 933, 606
11, 2048, 466, 933, 466, 467, 933, 467, 467, 467, 933, 467, 606
12, 4096, 933, 466, 933, 933, 467, 933, 466, 466, 933, 466, 699
13, 8192, 933, 466, 466, 933, 466, 466, 933, 466, 467, 933, 652
14, 16384, 1866, 1866, 933, 17727, 933, 466, 466, 467, 466, 467, 2565
15, 32768, 933, 933, 1399, 467, 1400, 1399, 933, 467, 932, 933, 979
16, 65536, 1399, 466, 466, 933, 933, 1866, 467, 467, 933, 466, 839
17, 131072, 1400, 1866, 466, 933, 467, 1866, 1399, 933, 933, 1866, 1212
18, 262144, 1866, 2332, 1400, 5131, 1866, 1866, 933, 1866, 1399, 2332, 2099
19, 524288, 3265, 3265, 3266, 3266, 3265, 2799, 3266, 3265, 2799, 3266, 3172
20, 1048576, 5131, 4665, 5598, 5132, 5131, 4199, 23325, 4665, 6998, 5132, 6997
21, 2097152, 4665, 5598, 4665, 4665, 5132, 5132, 4664, 4664, 4665, 5598, 4944
22, 4194304, 5598, 5131, 5131, 9797, 4665, 6065, 5131, 5131, 5131, 5132, 5691
23, 8388608, 5131, 5598, 5598, 5131, 5598, 5597, 5132, 5131, 4665, 6997, 5457
24, 16777216, 5598, 5597, 5598, 5131, 5131, 5598, 5598, 5597, 5598, 5598, 5504


Binary Search
2^,N,Microseconds, , , , , , , , , , Binary Search
8, 256, 5598, 933, 933, 933, 933, 933, 933, 933, 466, 467, 1306
9, 512, 1399, 933, 933, 466, 933, 933, 933, 933, 933, 467, 886
10, 1024, 933, 933, 933, 933, 933, 933, 1399, 933, 933, 933, 979
11, 2048, 1399, 1399, 933, 933, 933, 933, 933, 933, 1399, 933, 1072
12, 4096, 1400, 933, 933, 933, 933, 933, 933, 933, 933, 933, 979
13, 8192, 1400, 933, 1399, 1399, 933, 933, 933, 933, 933, 933, 1072
14, 16384, 1399, 1400, 1399, 16328, 933, 933, 933, 933, 933, 933, 2612
15, 32768, 1400, 1399, 1400, 933, 1866, 1866, 1399, 1400, 933, 1400, 1399
16, 65536, 1400, 933, 1399, 933, 933, 2333, 1400, 1399, 1399, 933, 1306
17, 131072, 1399, 1866, 1400, 1400, 1400, 2333, 1399, 933, 1866, 2333, 1632
18, 262144, 1866, 2332, 1866, 2333, 1399, 2333, 1866, 2332, 12596, 6064, 3498
19, 524288, 933, 933, 467, 933, 933, 933, 933, 467, 933, 933, 839
20, 1048576, 1399, 1866, 1400, 1399, 1400, 1399, 1399, 1400, 1400, 1400, 1446
21, 2097152, 1866, 1866, 1866, 1866, 2332, 1866, 2333, 1866, 1866, 1866, 1959
22, 4194304, 1399, 1866, 1399, 1866, 1866, 1866, 1866, 1866, 1400, 1866, 1726
23, 8388608, 2332, 2799, 1866, 2332, 1866, 1866, 1866, 2332, 2333, 2332, 2192
24, 16777216, 2798, 2799, 2332, 2332, 3265, 2799, 2799, 2332, 2333, 2333, 2612


Binary Search
2^,N,Microseconds, , , , , , , , , , Binary Search
8, 256, 5598, 1399, 933, 933, 933, 467, 933, 933, 933, 933, 1399
9, 512, 1400, 933, 933, 466, 933, 933, 933, 933, 933, 933, 933
10, 1024, 933, 1399, 933, 1400, 933, 1399, 1400, 933, 932, 933, 1119
11, 2048, 1399, 933, 933, 933, 933, 933, 932, 933, 933, 933, 979
12, 4096, 1399, 933, 1399, 933, 933, 932, 933, 933, 933, 933, 1026
13, 8192, 1866, 933, 1400, 1399, 933, 933, 1400, 933, 933, 1400, 1213
14, 16384, 1400, 933, 1400, 17260, 933, 1399, 933, 1400, 933, 933, 2752
15, 32768, 1400, 1400, 933, 933, 2332, 1866, 933, 1399, 1400, 1399, 1399
16, 65536, 2332, 1866, 933, 1400, 1400, 1866, 1399, 1399, 933, 933, 1446
17, 131072, 1866, 2333, 1866, 933, 1400, 2332, 1399, 1399, 1400, 2333, 1726
18, 262144, 2332, 2333, 1866, 6531, 2332, 2332, 1866, 2332, 13061, 5598, 4058
19, 524288, 933, 467, 467, 933, 933, 933, 466, 933, 932, 467, 746
20, 1048576, 1866, 1866, 1866, 1400, 1866, 1865, 1866, 1399, 1400, 1866, 1726
21, 2097152, 1866, 2332, 1866, 1399, 1866, 1400, 1399, 1400, 1866, 1866, 1726
22, 4194304, 1866, 1399, 2332, 1866, 2333, 1866, 1865, 1866, 1866, 2799, 2005
23, 8388608, 1866, 1866, 1866, 2333, 1866, 2333, 1866, 2332, 1866, 1866, 2006
24, 16777216, 2333, 1866, 1866, 2333, 2333, 1866, 2333, 1866, 2332, 2333, 2146


Binary Search
2^,N,Microseconds, , , , , , , , , , Binary Search
8, 256, 5597, 1400, 1399, 933, 933, 1400, 933, 1400, 933, 933, 1586
9, 512, 1399, 1399, 933, 1400, 933, 933, 1400, 1400, 1400, 933, 1213
10, 1024, 1866, 1400, 933, 1399, 933, 1865, 1400, 1399, 933, 1399, 1352
11, 2048, 1866, 1865, 1400, 933, 933, 1866, 1399, 933, 1400, 1400, 1399
12, 4096, 1866, 1400, 1399, 1400, 1400, 1399, 1866, 1399, 12129, 1866, 2612
13, 8192, 1866, 1399, 1400, 933, 1866, 466, 1399, 1400, 1400, 1399, 1352
14, 16384, 1399, 1865, 1399, 1399, 2333, 2799, 1399, 1866, 1866, 1399, 1772
15, 32768, 2332, 2333, 1866, 1866, 2799, 1399, 2332, 1866, 1865, 1400, 2005
16, 65536, 1866, 1865, 1866, 1866, 1866, 2799, 1399, 1399, 1866, 1399, 1819
17, 131072, 3732, 2333, 1866, 1866, 2332, 2799, 2332, 2332, 1866, 3266, 2472
18, 262144, 3265, 3266, 3265, 4199, 2333, 4665, 2799, 3732, 13528, 6531, 4758
19, 524288, 1400, 1866, 1400, 1399, 1399, 933, 933, 933, 933, 933, 1212
20, 1048576, 1399, 1866, 1866, 1399, 1866, 1400, 1399, 1400, 1399, 1400, 1539
21, 2097152, 3265, 1399, 2799, 1400, 2333, 1866, 933, 2333, 1866, 2332, 2052
22, 4194304, 2332, 1866, 2799, 2332, 1400, 2332, 1399, 3266, 2799, 2333, 2285
23, 8388608, 2333, 1400, 1399, 2799, 1866, 2332, 4199, 3265, 2333, 1866, 2379
24, 16777216, 1866, 2799, 2333, 3266, 2799, 1866, 2799, 1866, 2333, 2799, 2472


Quick Sort
2^,N,Microseconds, , , , , , , , , , Quick Sort
8, 256, 565856, 146012, 151611, 145079, 148345, 127819, 112891, 111492, 111492, 111025, 173162
9, 512, 441303, 431973, 431973, 435705, 432906, 430574, 431040, 435705, 431507, 432440, 433512
10, 1024, 1720429, 1708767, 1706434, 1707366, 1706900, 1706900, 1704102, 1715764, 1711099, 1707367, 1709512
11, 2048, 6816871, 6793080, 6773954, 6870052, 6856523, 6871918, 6859789, 6856523, 6856057, 6871451, 6842621
12, 4096, 27419096, 28151491, 27398571, 27335127, 27399036, 27354720, 27373846, 27360785, 27883723, 27382243, 27505863


